ashkenazi_reference_test/02_finalize_clean_manifest.sh	8760 bytes	2026-07-18 06:49:00.2328167640
ashkenazi_reference_test/02_review_qc_and_build_manifest.sh	9047 bytes	2026-07-18 06:42:21.3819180380
ashkenazi_reference_test/03_subset_eigenstrat_panel.sh	11913 bytes	2026-07-18 06:56:23.6960211850
ashkenazi_reference_test/03a_transpose_aadr_genotype.sh	3702 bytes	2026-07-18 07:12:49.7933482140
ashkenazi_reference_test/03b_build_exact_panel_subsets.sh	12313 bytes	2026-07-18 07:22:01.9460411390
ashkenazi_reference_test/03c_audit_panel_integrity.py	5612 bytes	2026-07-18 07:28:40.5732158200
ashkenazi_reference_test/04a_convert_panels_to_plink.sh	3677 bytes	2026-07-18 07:29:57.9832585060
ashkenazi_reference_test/05_analyze_pca.py	18456 bytes	2026-07-18 08:30:25.1794426020
ashkenazi_reference_test/06_run_fst.py	69012 bytes	2026-07-18 09:00:41.4961494220
ashkenazi_reference_test/256	0 bytes	2026-07-18 07:50:01.5545702300
ashkenazi_reference_test/__pycache__/05_analyze_pca.cpython-312.pyc	24748 bytes	2026-07-18 08:30:25.2172936490
ashkenazi_reference_test/__pycache__/06_run_fst.cpython-312.pyc	92920 bytes	2026-07-18 09:00:41.5409659250
ashkenazi_reference_test/aadr_latest.json	23556 bytes	2026-07-18 05:33:20.6031783040
ashkenazi_reference_test/backups/02_finalize_clean_manifest_20260718_064900/modern_panel_exclusions.tsv	3965 bytes	2026-07-18 06:48:17.1739361920
ashkenazi_reference_test/backups/02_finalize_clean_manifest_20260718_064900/modern_panel_primary.tsv	54787 bytes	2026-07-18 06:48:17.1726601980
ashkenazi_reference_test/backups/02_finalize_clean_manifest_20260718_064900/modern_panel_primary_ids.txt	4981 bytes	2026-07-18 06:48:17.1737879850
ashkenazi_reference_test/backups/02_finalize_clean_manifest_20260718_064900/modern_panel_strict_pass.tsv	31513 bytes	2026-07-18 06:48:17.1734086210
ashkenazi_reference_test/backups/02_finalize_clean_manifest_20260718_064900/modern_panel_strict_pass_ids.txt	3349 bytes	2026-07-18 06:48:17.1738544360
ashkenazi_reference_test/backups/02_review_qc_and_build_manifest_before_header_fix_20260718_064221.sh	9121 bytes	2026-07-18 06:38:36.7854253700
ashkenazi_reference_test/backups/03a_transpose_aadr_genotype.sh.before_regex_header_fix	3403 bytes	2026-07-18 07:12:49.7932159340
ashkenazi_reference_test/backups/03a_transpose_aadr_genotype_before_header_fix_20260718_070853.sh	3403 bytes	2026-07-18 07:06:03.7944128710
ashkenazi_reference_test/backups/03b_build_exact_panel_subsets_20260718_072201/modern_primary.geno	25735518 bytes	2026-07-18 07:19:30.5851079370
ashkenazi_reference_test/backups/03b_build_exact_panel_subsets_20260718_072201/modern_primary.ind	13234 bytes	2026-07-18 07:19:30.5913429000
ashkenazi_reference_test/backups/03b_build_exact_panel_subsets_20260718_072201/modern_primary.snp	17433675 bytes	2026-07-18 07:19:30.0599699150
ashkenazi_reference_test/backups/03b_build_exact_panel_subsets_20260718_072201/modern_strict_pass.geno	17157012 bytes	2026-07-18 07:19:33.6332775150
ashkenazi_reference_test/backups/03b_build_exact_panel_subsets_20260718_072201/modern_strict_pass.ind	8923 bytes	2026-07-18 07:19:33.6398248230
ashkenazi_reference_test/backups/03b_build_exact_panel_subsets_20260718_072201/modern_strict_pass.snp	17433675 bytes	2026-07-18 07:19:33.2265916770
ashkenazi_reference_test/data/eigenstrat/modern_primary.geno	25735518 bytes	2026-07-18 07:22:35.1038949800
ashkenazi_reference_test/data/eigenstrat/modern_primary.ind	13234 bytes	2026-07-18 07:22:35.1067450910
ashkenazi_reference_test/data/eigenstrat/modern_primary.snp	17433675 bytes	2026-07-18 07:22:34.5427437260
ashkenazi_reference_test/data/eigenstrat/modern_strict_pass.geno	17157012 bytes	2026-07-18 07:22:38.2099857200
ashkenazi_reference_test/data/eigenstrat/modern_strict_pass.ind	8923 bytes	2026-07-18 07:22:38.2142811930
ashkenazi_reference_test/data/eigenstrat/modern_strict_pass.snp	17433675 bytes	2026-07-18 07:22:37.7594840120
ashkenazi_reference_test/data/eigenstrat/v66.p1_compatibility_HO.aadr.patch.PUB.packed.geno	1909132674 bytes	2026-07-18 07:07:21.0167312950
ashkenazi_reference_test/data/plink/modern_primary.bed	25735428 bytes	2026-07-18 07:30:00.1709941720
